date,time,confirmedcases,recovered,dead,totalR
1/22/2020,0,0,0,0,0
1/23/2020,1,0,0,0,0
1/24/2020,2,0,0,0,0
1/25/2020,3,0,0,0,0
1/26/2020,4,0,0,0,0
1/27/2020,5,0,0,0,0
1/28/2020,6,0,0,0,0
1/29/2020,7,0,0,0,0
1/30/2020,8,0,0,0,0
1/31/2020,9,0,0,0,0
2/1/2020,10,0,0,0,0
2/2/2020,11,0,0,0,0
2/3/2020,12,0,0,0,0
2/4/2020,13,0,0,0,0
2/5/2020,14,0,0,0,0
2/6/2020,15,0,0,0,0
2/7/2020,16,0,0,0,0
2/8/2020,17,0,0,0,0
2/9/2020,18,0,0,0,0
2/10/2020,19,0,0,0,0
2/11/2020,20,0,0,0,0
2/12/2020,21,0,0,0,0
2/13/2020,22,0,0,0,0
2/14/2020,23,0,0,0,0
2/15/2020,24,0,0,0,0
2/16/2020,25,0,0,0,0
2/17/2020,26,0,0,0,0
2/18/2020,27,0,0,0,0
2/19/2020,28,0,0,0,0
2/20/2020,29,0,0,0,0
2/21/2020,30,0,0,0,0
2/22/2020,31,0,0,0,0
2/23/2020,32,0,0,0,0
2/24/2020,33,0,0,0,0
2/25/2020,34,1,0,0,0
2/26/2020,35,1,0,0,0
2/27/2020,36,1,0,0,0
2/28/2020,37,1,0,0,0
2/29/2020,38,1,0,0,0
3/1/2020,39,1,0,0,0
3/2/2020,40,3,0,0,0
3/3/2020,41,5,0,0,0
3/4/2020,42,12,0,0,0
3/5/2020,43,12,0,0,0
3/6/2020,44,17,0,0,0
3/7/2020,45,17,0,0,0
3/8/2020,46,19,0,0,0
3/9/2020,47,20,0,0,0
3/10/2020,48,20,0,0,0
3/11/2020,49,20,0,0,0
3/12/2020,50,24,8,1,9
3/13/2020,51,26,8,2,10
3/14/2020,52,37,12,3,15
3/15/2020,53,48,12,4,16
3/16/2020,54,54,12,4,16
3/17/2020,55,60,12,4,16
3/18/2020,56,74,12,7,19
3/19/2020,57,87,32,9,41
3/20/2020,58,90,32,11,43
3/21/2020,59,139,32,15,47
3/22/2020,60,201,65,17,82
3/23/2020,61,230,65,17,82
3/24/2020,62,264,24,19,43
3/25/2020,63,302,65,21,86
3/26/2020,64,367,29,25,54
3/27/2020,65,409,29,26,55
3/28/2020,66,454,31,29,60
3/29/2020,67,511,31,31,62
3/30/2020,68,584,37,35,72
3/31/2020,69,716,46,44,90
4/1/2020,70,847,61,58,119
4/2/2020,71,986,61,86,147
4/3/2020,72,1171,62,105,167
4/4/2020,73,1251,90,130,220
4/5/2020,74,1320,90,152,242
4/6/2020,75,1423,90,173,263
4/7/2020,76,1468,113,193,306
4/8/2020,77,1572,237,205,442
4/9/2020,78,1666,347,235,582
4/10/2020,79,1761,405,256,661
4/11/2020,80,1825,460,275,735
4/12/2020,81,1914,591,293,884
4/13/2020,82,1983,601,313,914
4/14/2020,83,2070,691,326,1017
4/15/2020,84,2160,708,336,1044
4/16/2020,85,2268,783,348,1131
4/17/2020,86,2418,846,364,1210
4/18/2020,87,2534,894,367,1261
4/19/2020,88,2629,1047,375,1422
4/20/2020,89,2718,1099,384,1483
4/21/2020,90,2811,1152,392,1544
4/22/2020,91,2910,1204,402,1606
4/23/2020,92,3007,1355,407,1762
4/24/2020,93,3127,1408,415,1823
4/25/2020,94,3256,1479,419,1898
4/26/2020,95,3382,1508,425,1933
4/27/2020,96,3517,1558,432,1990
4/28/2020,97,3649,1651,437,2088
4/29/2020,98,3848,1702,444,2146
4/30/2020,99,4006,1779,450,2229
5/1/2020,100,4154,1821,453,2274
5/2/2020,101,4295,1872,459,2331
5/3/2020,102,4474,1936,463,2399
5/4/2020,103,4648,1998,465,2463
5/5/2020,104,4838,2067,470,2537
5/6/2020,105,4997,2197,476,2673
5/7/2020,106,5182,2323,483,2806
5/8/2020,107,5369,2467,488,2955
5/9/2020,108,5558,2546,494,3040
5/10/2020,109,5723,2678,502,3180
5/11/2020,110,5891,2841,507,3348
5/12/2020,111,6067,2998,515,3513
5/13/2020,112,6253,3058,522,3580
5/14/2020,113,6442,3158,529,3687
5/15/2020,114,6629,3271,536,3807
5/16/2020,115,6821,3409,542,3951
5/17/2020,116,7019,3507,548,4055
5/18/2020,117,7201,3625,555,4180
5/19/2020,118,7377,3746,561,4307
5/20/2020,119,7542,3968,568,4536
5/21/2020,120,7728,4062,575,4637
5/22/2020,121,7918,4256,582,4838
5/23/2020,122,8113,4426,592,5018
5/24/2020,123,8306,4784,600,5384
5/25/2020,124,8503,4747,609,5356
5/26/2020,125,8697,4918,617,5535
5/27/2020,126,8857,5129,623,5752
5/28/2020,127,8997,5277,630,5907
5/29/2020,128,9134,5422,638,6060
5/30/2020,129,9267,5549,646,6195
5/31/2020,130,9394,5748,653,6401
6/1/2020,131,9513,5894,661,6555
6/2/2020,132,9626,6067,667,6734
6/3/2020,133,9733,6218,673,6891
6/4/2020,134,9831,6297,681,6978
6/5/2020,135,9935,6453,690,7143
6/6/2020,136,10050,6631,698,7329
6/7/2020,137,10154,6717,707,7424
6/8/2020,138,10265,6799,715,7514
6/9/2020,139,10382,6951,724,7675
6/10/2020,140,10484,7074,732,7806
6/11/2020,141,10589,7255,741,7996
6/12/2020,142,10698,7322,751,8073
6/13/2020,143,10810,7420,760,8180
6/14/2020,144,10919,7606,767,8373
6/15/2020,145,11031,7735,777,8512
6/16/2020,146,11147,7842,788,8630
6/17/2020,147,11268,7943,799,8742
6/18/2020,148,11385,8078,811,8889
6/19/2020,149,11504,8196,825,9021
6/20/2020,150,11631,8324,837,9161
6/21/2020,151,11771,8422,845,9267
6/22/2020,152,11920,8559,852,9411
6/23/2020,153,12076,8674,861,9535
6/24/2020,154,12248,8792,869,9661
6/25/2020,155,12445,8920,878,9798
6/26/2020,156,12685,9066,885,9951
6/27/2020,157,12968,9202,892,10094
6/28/2020,158,13273,9371,897,10268
6/29/2020,159,13571,9674,905,10579
6/30/2020,160,13907,9897,912,10809
7/1/2020,161,14272,10040,920,10960
7/2/2020,162,14657,10342,928,11270
7/3/2020,163,15070,10832,937,11769
7/4/2020,164,15500,11181,946,12127
7/5/2020,165,15941,11492,952,12444
7/6/2020,166,16404,11884,959,12843
7/7/2020,167,16879,12094,968,13062
7/8/2020,168,17348,12329,978,13307
7/9/2020,169,17808,12637,988,13625
7/10/2020,170,18242,13124,996,14120
7/11/2020,171,18712,13124,1004,14128
7/12/2020,172,19195,13743,1011,14754
7/13/2020,173,19689,14019,1018,15037
7/14/2020,174,20216,14295,1028,15323
7/15/2020,175,20770,14792,1040,15832
7/16/2020,176,21355,15107,1052,16159
7/17/2020,177,21948,15430,1057,16487
7/18/2020,178,22549,15744,1068,16812
7/19/2020,179,23084,16051,1078,17129
7/20/2020,180,23691,16400,1087,17487
7/21/2020,181,24278,16646,1100,17746
7/22/2020,182,24872,16983,1111,18094
7/23/2020,183,25484,17369,1124,18493
7/24/2020,184,26159,17369,1136,18505
7/25/2020,185,26764,18076,1146,19222
7/26/2020,186,27357,18088,1155,19243
7/27/2020,187,27973,18837,1163,20000
7/28/2020,188,28615,19233,1174,20407
7/29/2020,189,29229,19592,1186,20778
7/30/2020,190,29831,20082,1200,21282
7/31/2020,191,30394,20537,1210,21747
8/1/2020,192,30950,20988,1223,22211
8/2/2020,193,31465,21419,1231,22650
8/3/2020,194,31972,21901,1239,23140
8/4/2020,195,32504,22375,1248,23623
8/5/2020,196,33055,22802,1261,24063
